what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1308165799409
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1308165810156
activated,view,com.android.ide.eclipse.ddms,10.0.1.v201103111512-110841,"com.android.ide.eclipse.ddms.views.LogCatView",1308165810275
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1308165811785
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1308165903465
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1308165903487
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1308165916004
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1308165936117
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.cut",1308165982103
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1308165983381
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1308165997136
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1308165997245
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1308166031843
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1308166031949
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1308166052131
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1308166052256
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.cut",1308166060416
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.delete",1308166062297
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1308166081921
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.undo",1308166087406
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.undo",1308166087692
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.undo",1308166088380
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1308166095864
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.cut",1308166112331
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1308166113085
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1308166136371
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1308166144942
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1308166145071
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1308166156403
executed,command,org.eclipse.debug.ui,3.5.2.v20091028_r352,"org.eclipse.debug.ui.commands.RunLast",1308166158592
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1308166164040
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1308166174155
activated,view,com.android.ide.eclipse.ddms,10.0.1.v201103111512-110841,"com.android.ide.eclipse.ddms.views.LogCatView",1308166174258
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1308166175696
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1308166213127
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1308166213151
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.cut",1308166218245
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.undo",1308166252110
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.undo",1308166252658
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.undo",1308166252849
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.undo",1308166253027
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.undo",1308166253224
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.undo",1308166253414
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.undo",1308166254003
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.undo",1308166254425
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.undo",1308166254850
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.redo",1308166257042
